"ano","dia","distribuido","total","ministro","mes","redistribuido"
2007,28,"42","42","MIN. SEPÚLVEDA PERTENCE",2,"0"
2007,28,"58","58","MIN. CELSO DE MELLO",2,"0"
2007,28,"58","58","MIN. MARCO AURÉLIO",2,"0"
2007,28,"60","60","MIN. GILMAR MENDES",2,"0"
2007,28,"62","62","MIN. CEZAR PELUSO",2,"0"
2007,28,"44","44","MIN. CARLOS BRITTO",2,"0"
2007,28,"57","57","MIN. JOAQUIM BARBOSA",2,"0"
2007,28,"53","53","MIN. EROS GRAU",2,"0"
2007,28,"56","56","MIN. RICARDO LEWANDOWSKI",2,"0"
2007,28,"58","59","MIN. CÁRMEN LÚCIA",2,"1"
2007,28,"548","549","TOTAL",2,"1"
2007,1,"51","51","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,1,"53","53","MIN. CELSO DE MELLO",3,"0"
2007,1,"39","39","MIN. MARCO AURÉLIO",3,"0"
2007,1,"54","54","MIN. GILMAR MENDES",3,"0"
2007,1,"50","50","MIN. CEZAR PELUSO",3,"0"
2007,1,"50","50","MIN. CARLOS BRITTO",3,"0"
2007,1,"53","53","MIN. JOAQUIM BARBOSA",3,"0"
2007,1,"47","49","MIN. EROS GRAU",3,"2"
2007,1,"42","42","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,1,"50","50","MIN. CÁRMEN LÚCIA",3,"0"
2007,1,"489","491","TOTAL",3,"2"
2007,2,"42","42","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,2,"25","25","MIN. CELSO DE MELLO",3,"0"
2007,2,"38","38","MIN. MARCO AURÉLIO",3,"0"
2007,2,"39","39","MIN. GILMAR MENDES",3,"0"
2007,2,"44","44","MIN. CEZAR PELUSO",3,"0"
2007,2,"44","44","MIN. CARLOS BRITTO",3,"0"
2007,2,"44","44","MIN. JOAQUIM BARBOSA",3,"0"
2007,2,"41","41","MIN. EROS GRAU",3,"0"
2007,2,"43","43","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,2,"38","38","MIN. CÁRMEN LÚCIA",3,"0"
2007,2,"398","398","TOTAL",3,"0"
2007,5,"48","48","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,5,"37","37","MIN. CELSO DE MELLO",3,"0"
2007,5,"48","48","MIN. MARCO AURÉLIO",3,"0"
2007,5,"50","50","MIN. GILMAR MENDES",3,"0"
2007,5,"43","43","MIN. CEZAR PELUSO",3,"0"
2007,5,"45","45","MIN. CARLOS BRITTO",3,"0"
2007,5,"46","46","MIN. JOAQUIM BARBOSA",3,"0"
2007,5,"48","48","MIN. EROS GRAU",3,"0"
2007,5,"50","50","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,5,"48","48","MIN. CÁRMEN LÚCIA",3,"0"
2007,5,"463","463","TOTAL",3,"0"
2007,6,"39","41","MIN. SEPÚLVEDA PERTENCE",3,"2"
2007,6,"39","39","MIN. CELSO DE MELLO",3,"0"
2007,6,"38","38","MIN. MARCO AURÉLIO",3,"0"
2007,6,"41","41","MIN. GILMAR MENDES",3,"0"
2007,6,"36","36","MIN. CEZAR PELUSO",3,"0"
2007,6,"34","34","MIN. CARLOS BRITTO",3,"0"
2007,6,"39","39","MIN. JOAQUIM BARBOSA",3,"0"
2007,6,"42","42","MIN. EROS GRAU",3,"0"
2007,6,"38","38","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,6,"40","40","MIN. CÁRMEN LÚCIA",3,"0"
2007,6,"386","388","TOTAL",3,"2"
2007,7,"47","47","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,7,"44","44","MIN. CELSO DE MELLO",3,"0"
2007,7,"43","43","MIN. MARCO AURÉLIO",3,"0"
2007,7,"43","43","MIN. GILMAR MENDES",3,"0"
2007,7,"50","51","MIN. CEZAR PELUSO",3,"1"
2007,7,"44","44","MIN. CARLOS BRITTO",3,"0"
2007,7,"43","43","MIN. JOAQUIM BARBOSA",3,"0"
2007,7,"44","44","MIN. EROS GRAU",3,"0"
2007,7,"40","40","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,7,"43","43","MIN. CÁRMEN LÚCIA",3,"0"
2007,7,"441","442","TOTAL",3,"1"
2007,8,"51","51","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,8,"47","47","MIN. CELSO DE MELLO",3,"0"
