"site","mesAtual","diaAtual","anoAtual"
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/02/2007&numAta=41&sessaoAta=O",2,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=01/03/2007&numAta=42&sessaoAta=O",3,1,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/03/2007&numAta=43&sessaoAta=O",3,2,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/03/2007&numAta=44&sessaoAta=O",3,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/03/2007&numAta=45&sessaoAta=O",3,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=07/03/2007&numAta=46&sessaoAta=O",3,7,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=08/03/2007&numAta=47&sessaoAta=O",3,8,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/03/2007&numAta=48&sessaoAta=O",3,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/03/2007&numAta=49&sessaoAta=O",3,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/03/2007&numAta=50&sessaoAta=O",3,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/03/2007&numAta=51&sessaoAta=O",3,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=15/03/2007&numAta=52&sessaoAta=O",3,15,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/03/2007&numAta=53&sessaoAta=O",3,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/03/2007&numAta=54&sessaoAta=O",3,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/03/2007&numAta=55&sessaoAta=O",3,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/03/2007&numAta=56&sessaoAta=O",3,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/03/2007&numAta=57&sessaoAta=O",3,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/03/2007&numAta=58&sessaoAta=O",3,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/03/2007&numAta=59&sessaoAta=O",3,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/03/2007&numAta=60&sessaoAta=O",3,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/03/2007&numAta=61&sessaoAta=O",3,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=29/03/2007&numAta=62&sessaoAta=O",3,29,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/03/2007&numAta=63&sessaoAta=O",3,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/04/2007&numAta=64&sessaoAta=O",4,2,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/04/2007&numAta=66&sessaoAta=O",4,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/04/2007&numAta=67&sessaoAta=O",4,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/04/2007&numAta=68&sessaoAta=O",4,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/04/2007&numAta=69&sessaoAta=O",4,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/04/2007&numAta=70&sessaoAta=O",4,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/04/2007&numAta=71&sessaoAta=O",4,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/04/2007&numAta=72&sessaoAta=O",4,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/04/2007&numAta=73&sessaoAta=O",4,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/04/2007&numAta=74&sessaoAta=O",4,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/04/2007&numAta=75&sessaoAta=O",4,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/04/2007&numAta=76&sessaoAta=O",4,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/04/2007&numAta=77&sessaoAta=O",4,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/04/2007&numAta=78&sessaoAta=O",4,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/04/2007&numAta=81&sessaoAta=O",4,24,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=25/04/2007&numAta=82&sessaoAta=O",4,25,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/04/2007&numAta=83&sessaoAta=O",4,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/04/2007&numAta=85&sessaoAta=O",4,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/04/2007&numAta=87&sessaoAta=O",4,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/05/2007&numAta=88&sessaoAta=O",5,2,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/05/2007&numAta=89&sessaoAta=O",5,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/05/2007&numAta=90&sessaoAta=O",5,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=07/05/2007&numAta=92&sessaoAta=O",5,7,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=08/05/2007&numAta=94&sessaoAta=O",5,8,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/05/2007&numAta=95&sessaoAta=O",5,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/05/2007&numAta=97&sessaoAta=O",5,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/05/2007&numAta=98&sessaoAta=O",5,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/05/2007&numAta=99&sessaoAta=O",5,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=15/05/2007&numAta=101&sessaoAta=O",5,15,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/05/2007&numAta=102&sessaoAta=O",5,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/05/2007&numAta=104&sessaoAta=O",5,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/05/2007&numAta=106&sessaoAta=O",5,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/05/2007&numAta=107&sessaoAta=O",5,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/05/2007&numAta=108&sessaoAta=O",5,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/05/2007&numAta=109&sessaoAta=O",5,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/05/2007&numAta=110&sessaoAta=O",5,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/05/2007&numAta=111&sessaoAta=O",5,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/05/2007&numAta=112&sessaoAta=O",5,24,2007
