ministro,ano,mes,dia,distribuido,redistribuido,total
"MIN. CELSO DE MELLO",2008,1,31,"37","0","37"
"MIN. MARCO AURÉLIO",2008,1,31,"7","0","7"
"MIN. GILMAR MENDES",2008,1,31,"23","0","23"
"MIN. CEZAR PELUSO",2008,1,31,"18","0","18"
"MIN. CARLOS BRITTO",2008,1,31,"29","0","29"
"MIN. JOAQUIM BARBOSA",2008,1,31,"23","0","23"
"MIN. EROS GRAU",2008,1,31,"20","0","20"
"MIN. RICARDO LEWANDOWSKI",2008,1,31,"49","0","49"
"MIN. CÁRMEN LÚCIA",2008,1,31,"51","0","51"
"MIN. MENEZES DIREITO",2008,1,31,"9","0","9"
"TOTAL",2008,1,31,"266","0","266"
"MIN. CELSO DE MELLO",2008,5,5,"27","0","27"
"MIN. MARCO AURÉLIO",2008,5,5,"12","0","12"
"MIN. ELLEN GRACIE",2008,5,5,"67","0","67"
"MIN. CEZAR PELUSO",2008,5,5,"77","0","77"
"MIN. CARLOS BRITTO",2008,5,5,"25","0","25"
"MIN. JOAQUIM BARBOSA",2008,5,5,"38","0","38"
"MIN. EROS GRAU",2008,5,5,"45","0","45"
"MIN. RICARDO LEWANDOWSKI",2008,5,5,"41","0","41"
"MIN. CÁRMEN LÚCIA",2008,5,5,"29","0","29"
"MIN. MENEZES DIREITO",2008,5,5,"38","0","38"
"TOTAL",2008,5,5,"399","0","399"
"MIN. CELSO DE MELLO",2008,5,6,"47","0","47"
"MIN. MARCO AURÉLIO",2008,5,6,"13","0","13"
"MIN. ELLEN GRACIE",2008,5,6,"58","1","59"
"MIN. CEZAR PELUSO",2008,5,6,"71","0","71"
"MIN. CARLOS BRITTO",2008,5,6,"23","0","23"
"MIN. JOAQUIM BARBOSA",2008,5,6,"34","0","34"
"MIN. EROS GRAU",2008,5,6,"42","0","42"
"MIN. RICARDO LEWANDOWSKI",2008,5,6,"36","0","36"
"MIN. CÁRMEN LÚCIA",2008,5,6,"29","0","29"
"MIN. MENEZES DIREITO",2008,5,6,"32","0","32"
"TOTAL",2008,5,6,"385","1","386"
"MIN. SEPÚLVEDA PERTENCE",2007,7,25,"31","0","31"
"MIN. CELSO DE MELLO",2007,7,25,"34","0","34"
"MIN. MARCO AURÉLIO",2007,7,25,"42","0","42"
"MIN. GILMAR MENDES",2007,7,25,"45","0","45"
"MIN. CEZAR PELUSO",2007,7,25,"48","0","48"
"MIN. CARLOS BRITTO",2007,7,25,"33","0","33"
"MIN. JOAQUIM BARBOSA",2007,7,25,"40","0","40"
"MIN. EROS GRAU",2007,7,25,"28","0","28"
"MIN. RICARDO LEWANDOWSKI",2007,7,25,"28","0","28"
"MIN. CÁRMEN LÚCIA",2007,7,25,"22","0","22"
"TOTAL",2007,7,25,"351","0","351"
"MIN. SEPÚLVEDA PERTENCE",2007,7,26,"22","0","22"
"MIN. CELSO DE MELLO",2007,7,26,"27","0","27"
"MIN. MARCO AURÉLIO",2007,7,26,"26","0","26"
"MIN. GILMAR MENDES",2007,7,26,"34","0","34"
"MIN. CEZAR PELUSO",2007,7,26,"46","0","46"
"MIN. CARLOS BRITTO",2007,7,26,"26","0","26"
"MIN. JOAQUIM BARBOSA",2007,7,26,"23","0","23"
"MIN. EROS GRAU",2007,7,26,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2007,7,26,"31","0","31"
"MIN. CÁRMEN LÚCIA",2007,7,26,"28","0","28"
"TOTAL",2007,7,26,"297","0","297"
"MIN. CELSO DE MELLO",2007,10,29,"0","0","0"
"MIN. MARCO AURÉLIO",2007,10,29,"0","0","0"
"MIN. GILMAR MENDES",2007,10,29,"0","0","0"
"MIN. CEZAR PELUSO",2007,10,29,"0","0","0"
"MIN. CARLOS BRITTO",2007,10,29,"0","0","0"
"MIN. JOAQUIM BARBOSA",2007,10,29,"0","0","0"
"MIN. EROS GRAU",2007,10,29,"1","0","1"
"MIN. RICARDO LEWANDOWSKI",2007,10,29,"0","0","0"
"MIN. CÁRMEN LÚCIA",2007,10,29,"0","0","0"
"MIN. MENEZES DIREITO",2007,10,29,"0","0","0"
"TOTAL",2007,10,29,"1","0","1"
"MIN. CELSO DE MELLO",2007,10,30,"22","0","22"
"MIN. MARCO AURÉLIO",2007,10,30,"9","0","9"
"MIN. GILMAR MENDES",2007,10,30,"49","0","49"
"MIN. CEZAR PELUSO",2007,10,30,"31","1","32"
"MIN. CARLOS BRITTO",2007,10,30,"75","0","75"
"MIN. JOAQUIM BARBOSA",2007,10,30,"33","1","34"
"MIN. EROS GRAU",2007,10,30,"33","2","35"
"MIN. RICARDO LEWANDOWSKI",2007,10,30,"64","1","65"
"MIN. CÁRMEN LÚCIA",2007,10,30,"85","0","85"
"MIN. MENEZES DIREITO",2007,10,30,"25","0","25"
"TOTAL",2007,10,30,"426","5","431"
"MIN. CELSO DE MELLO",2008,2,1,"30","0","30"
"MIN. MARCO AURÉLIO",2008,2,1,"5","0","5"
"MIN. GILMAR MENDES",2008,2,1,"14","0","14"
"MIN. CEZAR PELUSO",2008,2,1,"22","0","22"
"MIN. CARLOS BRITTO",2008,2,1,"9","0","9"
"MIN. JOAQUIM BARBOSA",2008,2,1,"10","0","10"
"MIN. EROS GRAU",2008,2,1,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2008,2,1,"32","0","32"
"MIN. CÁRMEN LÚCIA",2008,2,1,"14","0","14"
"MIN. MENEZES DIREITO",2008,2,1,"8","0","8"
"TOTAL",2008,2,1,"178","0","178"
"MIN. CELSO DE MELLO",2008,5,7,"44","0","44"
"MIN. MARCO AURÉLIO",2008,5,7,"35","0","35"
"MIN. ELLEN GRACIE",2008,5,7,"40","0","40"
"MIN. CEZAR PELUSO",2008,5,7,"65","0","65"
"MIN. CARLOS BRITTO",2008,5,7,"20","0","20"
"MIN. JOAQUIM BARBOSA",2008,5,7,"39","0","39"
"MIN. EROS GRAU",2008,5,7,"29","0","29"
"MIN. RICARDO LEWANDOWSKI",2008,5,7,"40","0","40"
"MIN. CÁRMEN LÚCIA",2008,5,7,"46","0","46"
"MIN. MENEZES DIREITO",2008,5,7,"38","0","38"
"TOTAL",2008,5,7,"396","0","396"
"MIN. CELSO DE MELLO",2008,5,8,"26","0","26"
"MIN. MARCO AURÉLIO",2008,5,8,"22","0","22"
"MIN. ELLEN GRACIE",2008,5,8,"64","0","64"
"MIN. CEZAR PELUSO",2008,5,8,"166","0","166"
"MIN. CARLOS BRITTO",2008,5,8,"39","0","39"
"MIN. JOAQUIM BARBOSA",2008,5,8,"35","0","35"
"MIN. EROS GRAU",2008,5,8,"40","0","40"
"MIN. RICARDO LEWANDOWSKI",2008,5,8,"41","0","41"
"MIN. CÁRMEN LÚCIA",2008,5,8,"33","0","33"
"MIN. MENEZES DIREITO",2008,5,8,"43","0","43"
"TOTAL",2008,5,8,"509","0","509"
